wp_number,date,title,author,abstract,program,topics,Asset_Pricing,Children_and_Families
32348,2024-04-22,Examiner and Judge Designs in Economics: A Practitioner's Guide,"Eric Chyn, Brigham Frandsen, Emily C. Leslie","This article provides empirical researchers with an introduction and guide to research designs based on variation in judge and examiner tendencies to administer treatments or other interventions. We review the basic theory behind the research design, outline the assumptions under which the design identifies causal effects, describe empirical tests of those assumptions, and discuss tradeoffs associated with choices researchers must make for estimation. We demonstrate concepts and best practices concretely in an empirical case study that uses an examiner tendency research design to study the effects of pre-trial detention.",Children and Families,"Econometrics, Estimation Methods, Other, Law and Economics",0,1
32351,2024-04-22,Balancing Federalism: The Impact of Decentralizing School Accountability,"Eric A. Hanushek, Patricia Saenz-Armstrong, Alejandra Salazar","Education policy, while primarily the responsibility of the state governments, involves complicated decision making at the local, state, and federal levels. The federal involvement dramatically increased with the introduction of test-based accountability under the No Child Left Behind Act of 2001. But, reflecting resistance to various parts of this law, the involvement of federal policy making was substantially reduced when Congress passed the Every Student Succeeds Act in 2015. This change in policy allows estimation of the impact of altered federalism. By looking at how states reacted to their enhanced decision-making role, we see a retreat from the use of output-based policy toward teachers, and this retreat was associated with significantly lower student achievement growth. As a result, this readjustment of federalism to decision making by lower levels appeared to lower national achievement. The snapshot of federalism impacts here is a lower bound on the effects as more states will very likely react to the flexibility of ESSA and as more school districts change their teacher force.",Children and Families,"Public Economics, Subnational Fiscal Issues, Health, Education, and Welfare, Education",0,1
32353,2024-04-22,The Benefits and Costs of Secured Debt,Efraim Benmelech,"Secured debt—a debt contract that offers security to creditors in the form of collateralized assets—has been a cornerstone of credit markets in most societies since antiquity. The ability to seize and sell collateral reduces the creditor’s expected losses when the debtor defaults on a promised payment. Moreover, when a firm borrows from multiple creditors with different seniorities, debt secured by assets has higher priority relative to other creditors and is first in line for payment if the firm is bankrupt. While the benefits of secured debt have been shown in both the theoretical and empirical literature, less is known about the costs associated with secured borrowing. This paper surveys the burgeoning empirical literature on secured debt and provides an assessment of the costs and benefits of secured debt.",Asset Pricing,"Financial Economics, Portfolio Selection and Asset Pricing, Corporate Finance",1,0
32364,2024-04-22,Does Inflation Affect Earnings Relevance? A Century-Long Analysis,"Oliver Binz, John Graham, Matthew Kubic","Financial reports present assets, liabilities, and earnings on a nominal basis (unadjusted for inflation). Using a novel dataset of nearly a century of financial reports, this paper examines whether and how inflation affects the relation between accounting earnings and stock market value, i.e., earnings relevance. On the one hand, inflation may decrease earnings relevance as historical cost accounting relies on historical transaction prices that become less relevant when inflation changes the price level. On the other hand, inflation may increase earnings relevance by increasing firms’ discount rates and thereby shifting agents’ focus towards nearer-term payoffs. Consistent with the latter hypothesis, we document a strong positive relation between earnings relevance and inflation. Cross-sectional tests indicate that this relation is stronger for firms that are more sensitive to discount rate changes. We find that inflation is of first-order importance relative to determinants of earnings relevance explored in prior literature.",Asset Pricing,"Macroeconomics, Business Cycles, Financial Economics, Financial Markets, Other, Accounting, Marketing, and Personnel",1,0
32365,2024-04-22,One Factor to Bind the Cross-Section of Returns,"Nicola Borri, Denis Chetverikov, Yukun Liu, Aleh Tsyvinski","We propose a new non-linear single-factor asset pricing model. Despite its parsimony, this model represents exactly any non-linear model with an arbitrary number of factors and loadings – a consequence of the Kolmogorov-Arnold representation theorem. It features only one pricing component comprising a nonparametric link function of the time-dependent factor and factor loading that we jointly estimate with sieve-based estimators. Using 171 assets across major classes, our model delivers superior cross-sectional performance with a low-dimensional approximation of the link function. Most known finance and macro factors become insignificant controlling for our single-factor.",Asset Pricing,"Financial Economics, Portfolio Selection and Asset Pricing",1,0
32369,2024-04-29,Mechanism Reform: An Application to Child Welfare,"E. Jason Baron, Richard Lombardo, Joseph P. Ryan, Jeongsoo Suh, Quitze Valenzuela-Stookey","The design of mechanisms for allocating tasks among agents is a central question in economics, with applications across various high-stakes settings. In many of these market-design problems, new mechanisms are introduced to reform existing assignment systems. Unlike mechanisms developed in isolation, the presence of a status-quo mechanism imposes additional political and institutional constraints for the designer. We study this problem in the context of reforming the rotational assignment mechanism used to allocate Child Protective Services investigators to reported cases of child maltreatment. Investigators make the consequential decision of whether to place children in foster care when their safety at home is in question. Given concerns about investigator burnout and turnover, a key constraint on the new mechanism is ensuring that no investigator is made worse off compared to the status quo. We develop a design framework built on two sets of results: (i) an identification strategy that leverages the status-quo rotational assignment to estimate investigator performance, and (ii) mechanism-design results that enable us to elicit investigators’ preferences and allocate cases to maximize the welfare of children and families without making any investigator worse off. Our main technical contribution is a novel solution to a class of dynamic combinatorial allocation problems with type-dependent participation constraints. In a simulation, we show that this mechanism could reduce the number of investigators’ false positives (children placed in foster care who would have been safe in their homes) by 11% while also decreasing false negatives (children left at home who are subsequently maltreated) and overall placements. A naive approach that ignores investigator heterogeneity in preferences over case types would generate substantial welfare losses for investigators, with potential adverse effects on investigator turnover.",Children and Families,"Microeconomics, Economics of Information, Subnational Fiscal Issues, Labor Economics, Demography and Aging, Labor Market Structures",0,1
32385,2024-04-29,Ethics and Illusions: How Ethical Declarations Shape Market Behavior,"John M. Barrios, Jeremy Bertomeu, Radhika Lunawat, Ibrahima Sall","We examine the impacts of ethical declarations on market transactions through a controlled laboratory experiment, where privately-informed sellers issue a public report prior to a first-price auction. We find that while signing an ethical statement does not reduce misreporting by sellers, it significantly increases buyer trust, often skewing the terms of the trade in favor of sellers. Contrary to rational expectations, buyers consistently struggle to undo the bias. In counterfactual scenarios, from our structural analysis, we find that price efficiency improves when buyers rationally process uncertainty about sellers' ethical preferences, yet bias persists even when buyers have more accurate perceptions of sellers'’ ethical standards. Overall, our results suggests that disclosure interventions aimed at enhancing ethical conduct in market settings may not necessarily lead to more efficient pricing or reduced bias, and in some instances, may even disadvantage certain market participants.",Asset Pricing,"Microeconomics, General Equilibrium, Financial Economics, Financial Markets, Behavioral Finance",1,0
32388,2024-04-29,Teaching Teachers To Use Computer Assisted Learning Effectively: Experimental and Quasi-Experimental Evidence,"Philip Oreopoulos, Chloe Gibbs, Michael Jensen, Joseph Price","Mastery learning - the process by which students must demonstrate proficiency with a single topic before moving on - is well recognized as one of the most effective ways to learn, yet many teachers struggle or remain unsure about how to implement it into a classroom setting. This study evaluates a program to encourage greater mastery learning through technology and proactive continuous teacher support. Focusing on elementary and middle school mathematics, teachers receive weekly coaching in how to use Computer Assisted Learning (CAL) for helping students follow a customized roadmap of incremental progress. Results from two field experiments indicate significant Intent To Treat effects on math performance of 0.12 - 0.22 standard deviations. Further analysis indicates that these gains are from students in classrooms with at least an average of 35 minutes of practice per week. Teachers able to achieve high-dosage practice have a high degree of initial buy-in, a clear implementation strategy for when practice occurs, and a willingness to closely monitor progress and follow-up with struggling students.",Children and Families,"Health, Education, and Welfare, Education, Labor Economics, Demography and Aging",0,1
32390,2024-04-29,Loopholes and the Incidence of Public Services: Evidence from Funding Career & Technical Education,"Thomas Goldring, Brian Jacob, Daniel Kreisman, Michael Ricks","In 2015, Michigan increased its Career and Technical Education (CTE) funding and changed its funding formula to reimburse programs-based student progression through program curricula. Although this change nearly doubled program completion rates, student enrollment and persistence were unaffected; instead, administrators accelerated student progress by reorganizing course curricula around notches in the new funding formula. As a result of response heterogeneity, 30% of the funding increase is transferred away from high-poverty districts to more affluent ones, underscoring how supply-side responses to loopholes shape the incidence of public services.",Children and Families,"Health, Education, and Welfare, Education",0,1
32407,2024-05-06,Birth Order in the Very Long-Run: Estimating Firstborn Premiums between 1850 and 1940,"Angela Cools, Jared Grooms, Krzysztof Karbownik, Siobhan M. O'Keefe, Joseph Price, Anthony Wray","The nineteenth-century American family experienced tremendous demographic, economic, and institutional changes. By using birth order effects as a proxy for family environment, and linked census data on men born between 1835 and 1910, we study how the family's role in human capital production evolved over this period. We find firstborn premiums for occupational outcomes, marriage, and fertility that are similar across census waves. Our results indicate that the returns to investments in the family environment were stable over a long period.",Children and Families,"Labor Economics, Demography and Aging, Unemployment and Immigration, History, Labor and Health History",0,1
32427,2024-05-13,The Negligible Effect of Free Contraception on Fertility: Experimental Evidence from Burkina Faso,"Pascaline Dupas, Seema Jayachandran, Adriana Lleras-Muney, Pauline Rossi","We conducted a randomized trial among 14,545 households in rural Burkina Faso to test the oft-cited hypothesis that limited access to contraception is an important driver of high fertility rates in West Africa. We do not find support for this hypothesis. Women who were given free access to medical contraception for three years did not have lower birth rates; we can reject even modest effects. We cross-randomized additional interventions to address possible inefficiencies leading to low demand for free contraception, specifically misperceptions about the child mortality rate, limited exposure to opposing views about family size and contraception, and social pressure. Free contraception did not influence fertility even in combination with these other interventions.",Children and Families,"Labor Economics, Demography and Aging, Development and Growth, Development",0,1
32429,2024-05-13,"Integrating Minorities in the Classroom: The Role of Students, Parents, and Teachers","Alexandra de Gendre, Krzysztof Karbownik, Nicolás Salamanca, Yves Zenou","We develop a multi-agent model of the education production function where investments of students, parents, and teachers are linked to the presence of minorities in the classroom. We then test the key implications of this model using rich survey data and a mandate to randomly assign students to classrooms. Consistent with our model, we show that exposure to minority peers decreases student effort, parental investments, and teacher engagement and it results in lower student test scores. Observables correlated with minority status explain less than a third of the reduced-form test score effect while over a third can be descriptively attributed to endogenous responses of the agents.",Children and Families,"Microeconomics, Households and Firms, Health, Education, and Welfare, Education",0,1
32436,2024-05-13,What do Financial Markets say about the Exchange Rate?,"Mikhail Chernov, Valentin Haddad, Oleg Itskhoki","Financial markets play two roles with implications for the exchange rate: they accommodate risk sharing and act as a source of shocks. In prevailing theories, these roles are seen as mutually exclusive and individually face challenges in explaining exchange rate dynamics. However, we demonstrate that this is not necessarily the case. We develop an analytical framework that characterizes the link between exchange rates and finance across all conceivable market structures. Our findings indicate that full market segmentation is not necessary for financial shocks to explain exchange rates. Moreover, financial markets can accommodate a significant extent of international risk sharing without leading to the classic exchange rate puzzles. We identify plausible market structures where both roles coexist, addressing challenges faced when examined separately.",Asset Pricing,"Macroeconomics, Money and Interest Rates, International Economics, International Finance, Financial Economics, Financial Markets",1,0
32441,2024-05-13,Work Requirements with No Teeth Still Bite: Disenrollment and Labor Supply Effects of SNAP General Work Requirements,"Jason B. Cook, Chloe N. East","We provide the first evidence on the disenrollment impacts of SNAP's General Work Requirements, which apply to 28% of SNAP households, including many with young children. We leverage a regression discontinuity design based on the age of the youngest child in the household relative to the date of eligibility recertification---once the youngest child turns six, many heads of household become subject to General Work Requirements. We use novel administrative SNAP data, linked with state Unemployment Insurance earnings records, and find these requirements have important SNAP disenrollment effects, negative spillover effects to other members of the household, and no large impacts on labor supply. Additionally, the main mechanism through which these disenrollment effects occur is through referrals to the mandatory state Employment and Training program.",Children and Families,"Subnational Fiscal Issues, Health, Education, and Welfare, Poverty and Wellbeing, Labor Economics, Labor Supply and Demand",0,1
32444,2024-05-13,Do E-Cigarette Retail Licensure Laws Reduce Tobacco Use?,"Charles J. Courtemanche, Yang Liang, Johanna Catherine Maclean, Caterina Muratori, Joseph J. Sabia","E-cigarette licensure laws (ELLs) require retailers to obtain a state license to sell e-cigarettes over the counter. This study is the first to comprehensively explore the effect of ELL adoption on youth and adult tobacco product use. Using data from the State Youth Risk Behavior Survey (YRBS) and a difference-in-differences approach, we find no evidence that ELL adoption reduces overall youth ENDS use. The precision of our estimates allows us to rule out, with 95 percent confidence, ELL-induced prior-month youth ENDS use declines of more than 3.4 percent. The pattern of null findings persists when we examine ELLs that impose (1) higher penalties for retailer non-compliance, (2) higher renewable licensure fees, and (3) criminal as compared to civil penalties. However, we do uncover evidence that adoption of ELLs with higher penalties associated with a modest reduction in ENDS use among Black teens. We conclude that ELLs have only limited success in curbing access to ENDS.",Children and Families,"Health, Education, and Welfare, Health",0,1
32445,2024-05-13,The Economics of Infertility: Evidence from Reproductive Medicine,"Sarah Bögl, Jasmin Moshfegh, Petra Persson, Maria Polyakova","As the share of births that rely on assisted reproductive technologies (ART) keeps growing, policies around infertility treatments remain ridden with controversy. We use population-wide Swedish administrative data with uniquely detailed information on individual-level use of ARTs, combined with quasi-experimental empirical methods, to characterize the rate of infertility burden, its private and public costs, and the role of insurance coverage in alleviating infertility. We estimate that one in eight women will experience primary infertility – the inability to have any child at all – over her fertile years. Our analysis reveals that persistent infertility causes a long-run deterioration of mental health and couple stability, with no long-run “protective” effects (of having no child) on earnings. Insurance coverage plays a central role in driving the demand for expensive infertility treatments (IVF). The rate of IVF initiations drops by half when treatment is not covered by health insurance. Our estimates imply that couples are willing to pay at most 33% of their annual disposable income for a course of IVF treatment that gives an about 40% chance of having a child. The response to insurance coverage is more pronounced at the lower end of the income distribution. We show that, as a result, coverage of infertility treatments determines both the total number of additional children as well as their allocation across the socio-economic spectrum.",Children and Families,"Public Economics, Health, Education, and Welfare, Labor Economics",0,1
32447,2024-05-13,Optimal Mortgage Refinancing with Inattention,"David W. Berger, Konstantin Milbradt, Fabrice Tourre, Joseph S. Vavra","We build a model of optimal fixed-rate mortgage refinancing with fixed costs and inattention and derive a new sufficient statistic that can be used to measure inattention frictions from simple moments of the rate gap distribution. In the model, borrowers pay attention to rates sporadically so they often fail to refinance even when it is profitable. When paying attention, borrowers optimally choose to refinance earlier than under a perfect attention benchmark. Our model can rationalize almost all errors of “omission” (refinancing too slowly) and a large fraction of the errors of “commission” (refinancing too quickly) previously documented in the data.",Asset Pricing,"Macroeconomics, Money and Interest Rates, Financial Economics, Financial Institutions, Behavioral Finance, Regional and Urban Economics",1,0
32452,2024-05-13,Demand-side and Supply-side Constraints in the Market for Financial Advice,"Jonathan Reuter, Antoinette Schoar","In this review, we argue that access to financial advice and the quality of this advice is shaped by a broad array of demand-side and supply-side constraints. While the literature has predominantly focused on conflicts of interest between advisors and clients, we highlight that the transaction costs of providing advice, mistaken beliefs on the demand side or supply side, and other factors can have equally detrimental effects on the quality and access to advice. Moreover, these factors affect how researchers should assess the impact of financial advice across heterogeneous groups of households. While households with low levels of financial literacy are more likely to benefit from advice—potentially including conflicted advice—they are also the least likely to detect misconduct, and perhaps the least likely to understand the value of paying for advice. Regulators should consider not only how regulation changes the quality of advice, but also the fraction of households who are able to receive it and how different groups would have invested without any advice. Financial innovation has the potential to provide customized advice at low cost, but also to embed conflicts of interest in algorithms that are opaque to households and regulators.",Asset Pricing,"Financial Economics, Portfolio Selection and Asset Pricing, Behavioral Finance",1,0
32453,2024-05-13,Dollar Asset Holdings and Hedging Around the Globe,"Wenxin Du, Amy W. Huber","We analyze a large number of industry- and company-level filings of global institutional investors to provide the first comprehensive estimate of foreign investors' U.S. dollar (USD) security holdings and currency hedging practices. We document four stylized facts. First, driven by increasing portfolio allocations, foreign investors expanded their USD security holdings six-fold over the past two decades. Second, following the 2007-09 financial crisis, foreign mutual funds, insurers, and pensions raised their USD hedge ratio by an average of 15 percentage points, despite higher hedging costs implied by large and persistent deviations from covered interest-rate parity. The total FX hedging demand from these sector reached $2 trillion in 2019. Third, there is considerable heterogeneity in hedging practice across countries and sectors. Fourth, the global banking sector provides limited dollar hedging on net, underscoring the important role non-banks play in fulfilling the hedging demand of foreign institutional investors. We employ a mean-variance framework to benchmark investors' demand for USD assets and currency hedging practice, emphasizing the influence of expected returns on optimal portfolio construction and the apparent divergence between model predictions and observed hedging behaviors. We show a strong correlation between hedging demand and the cross-section of CIP deviations.",Asset Pricing,"International Economics, International Finance, Financial Economics, Portfolio Selection and Asset Pricing, Financial Institutions",1,0
32454,2024-05-13,Exorbitant Privilege: A Safe-Asset View,Zhengyang Jiang,"I propose a model of the reserve currency paradigm that centers on liquidity demand for safe assets. In global recessions, the demand for U.S. safe assets increases and raises their convenience yields, giving rise to stronger dollar and countercyclical seigniorage revenues. The seigniorage revenues raise the U.S. wealth and consumption shares in recessions, despite the U.S. suffering portfolio losses from external positions. This asset demand channel also connects exchange rates to bond holdings, which provides new perspectives on exchange rate disconnect and the exchange rate-capital flow relationship. Under this safe-asset view, exorbitant privilege does not require exorbitant duty.",Asset Pricing,"Macroeconomics, Money and Interest Rates, International Economics, International Finance, Financial Economics, Financial Markets",1,0
32467,2024-05-20,Shaping Inequality and Intergenerational Persistence of Poverty: Free College or Better Schools,"Dirk Krueger, Alexander Ludwig, Irina Popova","We evaluate the aggregate, distributional and welfare consequences of alternative government education policies to encourage college completion, such as making college free and improving funding for public schooling. To do so, we construct a general equilibrium overlapping generations model with intergenerational linkages, a higher education choice as well as a multi-stage human capital production process during childhood and adolescence with parental and government schooling investments. The model features rich cross-sectional heterogeneity, distinguishes between single and married parents, and is disciplined by US household survey data on income, wealth, education and time use. Studying the transitions induced by unexpected policy reforms we show that the “free college” and the “better schools” reform generate significant welfare gains, which take time to materialize and are lower in general than in partial equilibrium. It is optimal to combine both reforms: tuition subsidies make college affordable even for children from poorer parental backgrounds and better schools increase human capital thereby reducing dropout risk.",Children and Families,"Microeconomics, Households and Firms, Market Structure and Distribution, Macroeconomics, Consumption and Investment, Health, Education, and Welfare, Education",0,1
32470,2024-05-20,Inflation and Trading,"Philip Schnorpfeil, Michael Weber, Andreas Hackethal","We study how investors respond to inflation combining a customized survey experiment with trading data at a time of historically high inflation. Investors' beliefs about the stock return-inflation relation are very heterogeneous in the cross section and on average too optimistic. Moreover, many investors appear unaware of inflation-hedging strategies despite being otherwise well-informed about inflation and asset returns. Consequently, whereas exogenous shifts in inflation expectations do not impact return expectations, information on past returns during periods of high inflation leads to negative updating about the perceived stock-return impact of inflation, which feeds into return expectations and subsequent actual trading behavior.",Asset Pricing,"Econometrics, Experimental Design, Microeconomics, Households and Firms, Economics of Information, Macroeconomics, Consumption and Investment, Business Cycles, Money and Interest Rates, Financial Economics, Portfolio Selection and Asset Pricing",1,0
32472,2024-05-20,Shrinking the Term Structure,"Damir Filipović, Markus Pelger, Ye Ye","We propose a new framework to explain the factor structure in the full cross section of Treasury bond returns. Our method unifies non-parametric curve estimation with cross-sectional factor modeling. We identify smoothness as a fundamental principle of the term structure of returns. Our approach implies investable factors, which correspond to the optimal spanning basis functions in decreasing order of smoothness. Our factors explain the slope and curvature shapes frequently encountered in PCA. In a comprehensive empirical study, we show that the first four factors explain the time-series variation and risk premia of the term structure of excess returns. Cash flows are covariances as the exposure of bonds to factors is fully explained by cash flow information. We identify a state-dependent complexity premium. The fourth factor, which captures complex shapes of the term structure premium, substantially reduces pricing errors and pays off during recessions.",Asset Pricing,"Econometrics, Estimation Methods, Financial Economics, Portfolio Selection and Asset Pricing",1,0
32476,2024-05-20,What Drives Investors' Portfolio Choices? Separating Risk Preferences from Frictions,"Taha Choukhmane, Tim de Silva","We study the role of risk preferences and frictions in portfolio choice using variation in 401(k) default options. Patterns of active choice in response to different default funds imply that, absent participation frictions, 94% of investors prefer holding stocks, with an equity share of retirement wealth declining with age—patterns markedly different from observed allocations. We use this quasi-experiment to estimate a life cycle model and find a relative risk aversion of 2, EIS of 0.4, and $200 portfolio adjustment cost. Our results suggest that low levels of stock market participation in retirement accounts are due to participation frictions rather than non-standard preferences such as loss aversion.",Asset Pricing,"Microeconomics, Households and Firms, Financial Economics, Portfolio Selection and Asset Pricing, Behavioral Finance, Labor Economics, Labor Compensation",1,0
32481,2024-05-20,There is No Excess Volatility Puzzle,"Andrew Atkeson, Jonathan Heathcote, Fabrizio Perri","We present two valuation models that we use to account for the annual data on price per share and dividends per share for the CRSP Value-Weighted Index from 1929-2023. We show that it is a simple matter to account for these data based purely on a model of variation over time in the expected ratio of dividends per share to aggregate consumption under two conditions. First, investors must receive news shocks regarding the expected ratio of dividends per share to aggregate consumption in the long run. Second, the discount rate used to evaluate the impact of this news on the current price per share must be low. We use the approach of Campbell and Shiller (1987) and Campbell and Shiller (1988) to argue that the cash flow news in our model is not a stand-in for changes in expected returns: with our model parameters, returns are not predictable and price dividend spreads and ratios predict dividend growth at model-implied magnitudes. We illustrate which parameter choices account for differences between our results and prior findings in the literature. We conclude that the answer to Shiller (1981)’s question “Do stock prices move too much to be justified by subsequent movements in dividends?” is “not necessarily”.",Asset Pricing,"Financial Economics, Portfolio Selection and Asset Pricing",1,0
32488,2024-05-27,Household Inflation Expectations: An Overview of Recent Insights for Monetary Policy,"Francesco D’Acunto, Evangelos Charalambakis, Dimitris Georgarakos, Geoff Kenny, Justus Meyer, Michael Weber","This paper discusses the recent wave of research that has emphasized the importance of measures of consumers’ inflation expectations. In contrast to other measures of expected inflation, such as for experts or financial market participants, consumers’ inflation expectations capture the broader distribution of societal beliefs about inflation. This research has revealed very significant deviations from traditional assumptions about rationality in consumers’ expectations formation. However, households do act on their beliefs about inflation, though in heterogeneous ways that can depart from the predictions of conventional economic models. Recent euro area experiences highlight the importance of tracking the degree of anchoring in consumers’ inflation expectations in a way that considers their inherent complexity, heterogeneity, and subjectivity. On average, consumers’ medium and longer-term expectations deviate noticeably in levels from central bank targets and, in contrast with expert expectations, often co-move more closely with shorter-term inflation news. By stepping up their engagement with the wider public, central banks may be able to influence expectations by building up greater knowledge and trust and thereby support more effective monetary transmission. Communication efforts need to be persistent because central banks must compete with many other demands on consumers’ attention.",Asset Pricing,"Macroeconomics, Business Cycles, Monetary Policy",1,0
32499,2024-05-27,Discount Factors and Monetary Policy: Evidence from Dual-Listed Stocks,"Quentin Vandeweyer, Minghao Yang, Constantine Yannelis","This paper studies the transmission of monetary policy to the stock market through investors’ discount factors. To isolate this channel, we investigate the effect of US monetary policy surprises on the ratio of prices of the same stock listed simultaneously in Hong Kong and Mainland China, and thereby control for revisions in cash-flow expectations. We find this channel to be strong and asymmetric, with the effect driven by surprise monetary policy interest rate cuts. A 100 basis point surprise cut results in a 30 basis point increase in the ratio of stock prices over 5 days. These results suggest significant slow-moving reductions in stock market risk premia following accommodating monetary policy surprises.",Asset Pricing,"Macroeconomics, Monetary Policy, Financial Economics, Portfolio Selection and Asset Pricing, Financial Markets",1,0
32500,2024-05-27,Further Evidence on the Global Decline in the Mental Health of the Young,"David G. Blanchflower, Alex Bryson, Anthony Lepinteur, Alan Piper","Prior to around 2011, there was a pronounced curvilinear relationship between age and wellbeing: poor mental health was hump-shaped with respect to age, whilst subjective well-being was U-shaped. We examine data from a European panel for France, Germany, Italy, Spain and Sweden called, Come-Here, for 2020-2023, plus data from International Social Survey Program (ISSP) surveys for 2011 and 2021 and some country-specific data. Mental ill-health now declines in a roughly monotonic fashion with age, whilst subjective well-being rises with age. We also show that young people with poorer mental health spend more time daily in front of a screen on the internet or their smartphone, and that within-person increases in poor mental health are correlated with spending more time in front of a screen. This evidence appears important because it is among the first pieces of research to use panel data on individuals to track the relationship between screen time and changes in mental health, and because the results caution against simply using the presence of the internet in the household, or low usage indicators (such as having used the internet in the last week) to capture the role played by screen time in the growth of mental ill-health.",Children and Families,"Health, Education, and Welfare, Poverty and Wellbeing",0,1
32501,2024-05-27,"Business, Liquidity, and Information Cycles","Gorkem Bostanci, Guillermo Ordoñez","Stock markets play a dual role: help allocate capital by conveying information about firms’ fundamentals and provide liquidity by quickly turning stocks into cash. We propose a trading model in which these two roles are endogenously related: more intensive use of stocks for liquidity affects both the information and the noise about fundamentals contained in prices. We structurally estimate stock price informativeness for several countries and show that it sharply declines when the banking system has trouble providing liquidity. We incorporate this module into a dynamic general equilibrium model to study the real effects of this mechanism through capital misallocation across heterogeneous firms. Calibrating the model for the US, we show that, due to less informative stock markets, the output loss is 43% larger if recessions are accompanied by liquidity distress.",Asset Pricing,"Microeconomics, General Equilibrium, Economics of Information, Macroeconomics, Business Cycles, Financial Economics, Portfolio Selection and Asset Pricing",1,0
32509,2024-06-03,Procyclical Stocks Earn Higher Returns,"William N. Goetzmann, Akiko Watanabe, Masahiro Watanabe","We find that procyclical stocks, whose returns comove with business cycles, earn higher average returns than countercyclical stocks. We use almost a three-quarter century of real GDP growth expectations from economists’ surveys to determine forecasted economic states. This approach largely avoids the confounding effects of econometric forecasting model error. The loading on the expected real GDP growth rate is a priced risk measure. A fully tradable, ex-ante portfolio formed on this loading generates a procyclicality premium that is statistically significant, economically large, long-lasting over a few years, and independent of the size, book-to-market, and momentum effects.",Asset Pricing,"Macroeconomics, Business Cycles, Money and Interest Rates, Financial Economics, Portfolio Selection and Asset Pricing, Financial Markets",1,0
32510,2024-06-03,Can Technology Facilitate Scale? Evidence from a Randomized Evaluation of High Dosage Tutoring,"Monica P. Bhatt, Jonathan Guryan, Salman A. Khan, Michael LaForest-Tucker, Bhavya Mishra","High-dosage tutoring is an effective way to improve student learning (Nickow et al., 2024; Guryan et al., 2023). Finding ways to deliver high-dosage tutoring at large scale remains a challenge. Two primary challenges to scaling are cost and staffing. One possible solution is to reduce costs by substituting some tutor time with computer-assisted learning (CAL) technology. The question is: Does doing so compromise effectiveness? This paper provides evidence from a randomized controlled trial (RCT) of approximately 4,000 students in two large school districts in 2018- 19 and 2019-20. The RCT tested the effectiveness of an in-school math tutoring program where students worked in groups of four, with two students working with an in-person tutor while the other two worked on CAL, alternating every other day. The tutoring model had per-pupil costs approximately 30 percent lower than the 2- to-1 tutoring model studied in Guryan et al. (2023). We find gains in students’ math standardized test scores of 0.23 standard deviations for participating students, which are almost as large as the effect sizes of the 2-to-1 tutoring model reported in Guryan et al. (2023). These findings suggest strategic use of technology may be a way to increase the scalability of HDT.",Children and Families,"Health, Education, and Welfare, Education, Labor Economics, Labor Supply and Demand",0,1
32517,2024-06-03,"Broadband Internet Access, Economic Growth, and Wellbeing","Kathryn R. Johnson, Claudia Persico","Between 2000 and 2008, access to high-speed, broadband internet grew significantly in the United States, but there is debate on whether access to high-speed internet improves or harms wellbeing. We find that a ten percent increase in the proportion of county residents with access to broadband internet leads to a 1.01 percent reduction in the number of suicides in a county, as well as improvements in self-reported mental and physical health. We further find that this reduction in suicide deaths is likely due to economic improvements in counties that have access to broadband internet. Counties with increased access to broadband internet see reductions in poverty rate and unemployment rate. In addition, zip codes that gain access to broadband internet see increases in the numbers of employees and establishments. In addition, heterogeneity analysis indicates that the positive effects are concentrated in the working age population, those between 25 and 64 years old. This pattern is precisely what is predicted by the literature linking economic conditions to suicide risk.",Children and Families,"Health, Education, and Welfare, Health",0,1
32519,2024-06-03,The Law of Small Numbers in Financial Markets: Theory and Evidence,"Lawrence J. Jin, Cameron Peng","We build a model of the law of small numbers (LSN)—the incorrect belief that even small samples represent the properties of the underlying population—to study its implications for trading behavior and asset prices. In our model, a belief in the LSN induces investors to expect short-term price trends to revert and long-term price trends to persist. As a result, asset prices exhibit short-term momentum and long-term reversals. The model can reconcile the coexistence of the disposition effect and return extrapolation. In addition, it makes new predictions about investor behavior, including return patterns before purchases and sales, a weakened disposition effect for long-term holdings, doubling down in buying, a positive correlation between doubling down and the disposition effect, and heterogeneous selling propensities to past returns. By testing these predictions using account-level transaction data, we show that the LSN provides a parsimonious way of understanding a variety of puzzles about investor behavior.",Asset Pricing,"Financial Economics, Portfolio Selection and Asset Pricing",1,0
32535,2024-06-10,The Effect of E-Cigarette Flavor Bans on Tobacco Use,"Chad D. Cotti, Charles J. Courtemanche, Yang Liang, Johanna Catherine Maclean, Erik T. Nesson, Joseph J. Sabia","Advocates for sales restrictions on flavored e-cigarettes argue that flavors appeal to young people and lead them down a path to nicotine addiction. This study is among the first to examine the effect of state and local restrictions on the sale of flavored electronic nicotine delivery system (ENDS) products on youth and young adult tobacco use. Using data from the State and National Youth Risk Behavior Surveys, we find that the adoption of an ENDS flavor restriction reduces frequent and everyday youth ENDS use by 1.2 to 2.5 percentage points. Auxiliary analyses of the Behavioral Risk Factor Surveillance System show similar effects on ENDS use for young adults ages 18-20. However, we also detect evidence of an unintended effect of ENDS flavor restrictions that is especially clear among 18-20-year-olds: inducing substitution to combustible cigarette smoking. Finally, there is no evidence that ENDS flavor restrictions affect ENDS use among adults aged 21 and older or non-tobacco-related health behaviors such as binge drinking and illicit drug use.",Children and Families,"Health, Education, and Welfare, Health",0,1
